,Dates,variable,value
122,1991-07-15,PCA1,0.6774703893434606
123,1991-07-16,PCA1,0.6758291620932783
124,1991-07-17,PCA1,0.6705409412103192
125,1991-07-18,PCA1,0.6698570209744344
126,1991-07-19,PCA1,0.662807393734193
127,1991-07-22,PCA1,0.6617425174070779
128,1991-07-23,PCA1,0.665078411530795
129,1991-07-24,PCA1,0.6834131978474203
130,1991-07-25,PCA1,0.6745958054688633
131,1991-07-26,PCA1,0.678807993846057
132,1991-07-29,PCA1,0.6844364905480114
133,1991-07-30,PCA1,0.683985120588111
134,1991-07-31,PCA1,0.6956229669843423
135,1991-08-01,PCA1,0.6894372708740633
136,1991-08-02,PCA1,0.6895531056541964
137,1991-08-05,PCA1,0.6896960080669241
138,1991-08-06,PCA1,0.6906811783521983
139,1991-08-07,PCA1,0.688520305218576
140,1991-08-08,PCA1,0.6938252151019683
141,1991-08-09,PCA1,0.6945373220360265
142,1991-08-12,PCA1,0.7018561145511705
143,1991-08-13,PCA1,0.7017934691821395
144,1991-08-14,PCA1,0.6996606013490372
145,1991-08-15,PCA1,0.7021876695147464
146,1991-08-16,PCA1,0.7009379635776863
147,1991-08-19,PCA1,0.7058367782367593
148,1991-08-20,PCA1,0.7752683249812227
149,1991-08-21,PCA1,0.7809540919406214
150,1991-08-22,PCA1,0.805290630909468
151,1991-08-23,PCA1,0.8031109255006972
152,1991-08-26,PCA1,0.8088924483621981
153,1991-08-27,PCA1,0.8120613880696079
154,1991-08-28,PCA1,0.8132206243328143
155,1991-08-29,PCA1,0.8126782781961381
156,1991-08-30,PCA1,0.8136035664155369
157,1991-09-02,PCA1,0.8126162657511669
158,1991-09-03,PCA1,0.8115792314820963
159,1991-09-04,PCA1,0.8102429514164519
160,1991-09-05,PCA1,0.8084153999437832
161,1991-09-06,PCA1,0.8065081803939795
162,1991-09-09,PCA1,0.8068347534129254
163,1991-09-10,PCA1,0.8022096797249514
164,1991-09-11,PCA1,0.8021323112645073
165,1991-09-12,PCA1,0.8024088089565747
166,1991-09-13,PCA1,0.8023539368364128
167,1991-09-16,PCA1,0.7999061397911306
168,1991-09-17,PCA1,0.7980707313210986
169,1991-09-18,PCA1,0.8023734257697486
170,1991-09-19,PCA1,0.8032252821476491
171,1991-09-20,PCA1,0.800239056660235
172,1991-09-23,PCA1,0.7971216918867644
173,1991-09-24,PCA1,0.7961559879921243
174,1991-09-25,PCA1,0.7934256632814656
175,1991-09-26,PCA1,0.7842893711793799
176,1991-09-27,PCA1,0.7846690893156442
177,1991-09-30,PCA1,0.783092857178174
178,1991-10-01,PCA1,0.7703906915476632
179,1991-10-02,PCA1,0.780685577936292
180,1991-10-03,PCA1,0.7774652822144051
181,1991-10-04,PCA1,0.7730677368444355
182,1991-10-07,PCA1,0.7687734684892182
183,1991-10-08,PCA1,0.7654058753505633
184,1991-10-09,PCA1,0.7682373821533075
185,1991-10-10,PCA1,0.7688244084528456
186,1991-10-11,PCA1,0.7690712451689565
187,1991-10-14,PCA1,0.7691813406111857
188,1991-10-15,PCA1,0.7679813519259585
189,1991-10-16,PCA1,0.7639050941525544
190,1991-10-17,PCA1,0.7594883993295122
191,1991-10-18,PCA1,0.7597380845024586
192,1991-10-21,PCA1,0.7580663318793871
193,1991-10-22,PCA1,0.7570588524031255
194,1991-10-23,PCA1,0.7572421772214377
195,1991-10-24,PCA1,0.7568982267704147
196,1991-10-25,PCA1,0.7522559508846303
197,1991-10-28,PCA1,0.7500705435717041
198,1991-10-29,PCA1,0.7493644377312916
199,1991-10-30,PCA1,0.7547296609919962
200,1991-10-31,PCA1,0.7520542305225235
201,1991-11-01,PCA1,0.7469893265696032
202,1991-11-04,PCA1,0.7433685508653239
203,1991-11-05,PCA1,0.7410758649494184
204,1991-11-06,PCA1,0.7443944771570191
205,1991-11-07,PCA1,0.7469061034464943
206,1991-11-08,PCA1,0.7464036930002003
207,1991-11-11,PCA1,0.7423965263206644
208,1991-11-12,PCA1,0.5966384810069036
209,1991-11-13,PCA1,0.5757062805066764
210,1991-11-14,PCA1,0.4504395511869521
211,1991-11-15,PCA1,0.43731610014351296
212,1991-11-18,PCA1,0.49712977626850186
213,1991-11-19,PCA1,0.49416664734707666
214,1991-11-20,PCA1,0.5066550103271065
215,1991-11-21,PCA1,0.5007692661362708
216,1991-11-22,PCA1,0.5004509432729145
217,1991-11-25,PCA1,0.49844747001557316
218,1991-11-26,PCA1,0.49738038186374
219,1991-11-27,PCA1,0.48921136539760013
220,1991-11-28,PCA1,0.4935171389078137
221,1991-11-29,PCA1,0.5001294905901608
222,1991-12-02,PCA1,0.5003434478048943
223,1991-12-03,PCA1,0.49896276556956504
224,1991-12-04,PCA1,0.4914331099618803
225,1991-12-05,PCA1,0.48287209417987087
226,1991-12-06,PCA1,0.4757437381471047
227,1991-12-09,PCA1,0.4805745601100243
228,1991-12-10,PCA1,0.48083853756076306
229,1991-12-11,PCA1,0.4871764946247478
230,1991-12-12,PCA1,0.4956530514283085
231,1991-12-13,PCA1,0.5032189019154255
