,DATE,variable,value
212,1981-02-23,DFII10,
213,1981-02-24,DFII10,
214,1981-02-25,DFII10,
215,1981-02-26,DFII10,
216,1981-02-27,DFII10,
217,1981-03-02,DFII10,
218,1981-03-03,DFII10,
219,1981-03-04,DFII10,
220,1981-03-05,DFII10,
221,1981-03-06,DFII10,
222,1981-03-09,DFII10,
223,1981-03-10,DFII10,
224,1981-03-11,DFII10,
225,1981-03-12,DFII10,
226,1981-03-13,DFII10,
227,1981-03-16,DFII10,
228,1981-03-17,DFII10,
229,1981-03-18,DFII10,
230,1981-03-19,DFII10,
231,1981-03-20,DFII10,
232,1981-03-23,DFII10,
233,1981-03-24,DFII10,
234,1981-03-25,DFII10,
235,1981-03-26,DFII10,
236,1981-03-27,DFII10,
237,1981-03-30,DFII10,
238,1981-03-31,DFII10,
239,1981-04-01,DFII10,
240,1981-04-02,DFII10,
241,1981-04-03,DFII10,
242,1981-04-06,DFII10,
243,1981-04-07,DFII10,
244,1981-04-08,DFII10,
245,1981-04-09,DFII10,
246,1981-04-10,DFII10,
247,1981-04-13,DFII10,
248,1981-04-14,DFII10,
249,1981-04-15,DFII10,
250,1981-04-16,DFII10,
251,1981-04-17,DFII10,
252,1981-04-20,DFII10,
253,1981-04-21,DFII10,
254,1981-04-22,DFII10,
255,1981-04-23,DFII10,
256,1981-04-24,DFII10,
257,1981-04-27,DFII10,
258,1981-04-28,DFII10,
259,1981-04-29,DFII10,
260,1981-04-30,DFII10,
261,1981-05-01,DFII10,
262,1981-05-04,DFII10,
263,1981-05-05,DFII10,
264,1981-05-06,DFII10,
265,1981-05-07,DFII10,
266,1981-05-08,DFII10,
267,1981-05-11,DFII10,
268,1981-05-12,DFII10,
269,1981-05-13,DFII10,
270,1981-05-14,DFII10,
271,1981-05-15,DFII10,
272,1981-05-18,DFII10,
273,1981-05-19,DFII10,
274,1981-05-20,DFII10,
275,1981-05-21,DFII10,
276,1981-05-22,DFII10,
277,1981-05-25,DFII10,
278,1981-05-26,DFII10,
279,1981-05-27,DFII10,
280,1981-05-28,DFII10,
281,1981-05-29,DFII10,
282,1981-06-01,DFII10,
283,1981-06-02,DFII10,
284,1981-06-03,DFII10,
285,1981-06-04,DFII10,
286,1981-06-05,DFII10,
287,1981-06-08,DFII10,
288,1981-06-09,DFII10,
289,1981-06-10,DFII10,
290,1981-06-11,DFII10,
291,1981-06-12,DFII10,
292,1981-06-15,DFII10,
293,1981-06-16,DFII10,
294,1981-06-17,DFII10,
295,1981-06-18,DFII10,
296,1981-06-19,DFII10,
297,1981-06-22,DFII10,
298,1981-06-23,DFII10,
299,1981-06-24,DFII10,
300,1981-06-25,DFII10,
301,1981-06-26,DFII10,
302,1981-06-29,DFII10,
303,1981-06-30,DFII10,
304,1981-07-01,DFII10,
305,1981-07-02,DFII10,
306,1981-07-03,DFII10,
307,1981-07-06,DFII10,
308,1981-07-07,DFII10,
309,1981-07-08,DFII10,
310,1981-07-09,DFII10,
311,1981-07-10,DFII10,
312,1981-07-13,DFII10,
313,1981-07-14,DFII10,
314,1981-07-15,DFII10,
315,1981-07-16,DFII10,
316,1981-07-17,DFII10,
317,1981-07-20,DFII10,
318,1981-07-21,DFII10,
319,1981-07-22,DFII10,
320,1981-07-23,DFII10,
321,1981-07-24,DFII10,
322,1981-07-27,DFII10,
323,1981-07-28,DFII10,
324,1981-07-29,DFII10,
325,1981-07-30,DFII10,
326,1981-07-31,DFII10,
327,1981-08-03,DFII10,
328,1981-08-04,DFII10,
329,1981-08-05,DFII10,
330,1981-08-06,DFII10,
331,1981-08-07,DFII10,
332,1981-08-10,DFII10,
333,1981-08-11,DFII10,
334,1981-08-12,DFII10,
335,1981-08-13,DFII10,
336,1981-08-14,DFII10,
337,1981-08-17,DFII10,
338,1981-08-18,DFII10,
339,1981-08-19,DFII10,
340,1981-08-20,DFII10,
341,1981-08-21,DFII10,
342,1981-08-24,DFII10,
343,1981-08-25,DFII10,
344,1981-08-26,DFII10,
345,1981-08-27,DFII10,
346,1981-08-28,DFII10,
347,1981-08-31,DFII10,
348,1981-09-01,DFII10,
349,1981-09-02,DFII10,
350,1981-09-03,DFII10,
351,1981-09-04,DFII10,
352,1981-09-07,DFII10,
353,1981-09-08,DFII10,
354,1981-09-09,DFII10,
355,1981-09-10,DFII10,
356,1981-09-11,DFII10,
357,1981-09-14,DFII10,
358,1981-09-15,DFII10,
359,1981-09-16,DFII10,
360,1981-09-17,DFII10,
361,1981-09-18,DFII10,
362,1981-09-21,DFII10,
363,1981-09-22,DFII10,
364,1981-09-23,DFII10,
365,1981-09-24,DFII10,
366,1981-09-25,DFII10,
367,1981-09-28,DFII10,
368,1981-09-29,DFII10,
369,1981-09-30,DFII10,
370,1981-10-01,DFII10,
371,1981-10-02,DFII10,
372,1981-10-05,DFII10,
373,1981-10-06,DFII10,
374,1981-10-07,DFII10,
375,1981-10-08,DFII10,
376,1981-10-09,DFII10,
