Date,AAPL,MSFT,TSLA
1980-12-12,,,
1980-12-15,-0.05217352915856999,,
1980-12-16,-0.07339485720238681,,
1980-12-17,0.024752795424442864,,
1980-12-18,0.028985120991934954,,
1980-12-19,0.061033053337014476,,
1980-12-22,0.0486726511917257,,
1980-12-23,0.042194130487730686,,
1980-12-24,0.05263172679305561,,
1980-12-26,0.09230756313274235,,
1980-12-29,0.01408428044093979,,
1980-12-30,-0.0243058456838372,,
1980-12-31,-0.028469307675681232,,
1981-01-02,0.01098886589451431,,
1981-01-05,-0.021738785204973077,,
1981-01-06,-0.04444485115164232,,
1981-01-07,-0.042635411289428604,,
1981-01-08,-0.020242829545476293,,
1981-01-09,0.0537189446922588,,
1981-01-12,-0.007843276490013484,,
1981-01-13,-0.03557319047620644,,
1981-01-14,0.004098330241316006,,
1981-01-15,0.020408219651564474,,
1981-01-16,-0.00800014350640299,,
1981-01-19,0.06048424820065956,,
1981-01-20,-0.030418275416619123,,
1981-01-21,0.019607958949637405,,
1981-01-22,0.011538372167420485,,
1981-01-23,-0.003802380945640005,,
1981-01-26,-0.015267383152222536,,
1981-01-27,-0.007751881035761854,,
1981-01-28,-0.03125009915776711,,
1981-01-29,-0.03628992113438201,,
1981-01-30,-0.054393522897419166,,
1981-02-02,-0.05752229220858085,,
1981-02-03,0.03755888761547621,,
1981-02-04,0.03619935939458507,,
1981-02-05,0.0,,
1981-02-06,0.004366408847095382,,
1981-02-09,-0.05217352915856999,,
1981-02-10,0.0,,
1981-02-11,-0.03211061875938237,,
1981-02-12,-0.009478203548505593,,
1981-02-13,-0.023923584834925404,,
1981-02-17,0.024509950720281948,,
1981-02-18,0.043062274566858294,,
1981-02-19,-0.05963341851202819,,
1981-02-20,-0.05365822490552874,,
1981-02-23,0.015463711587368145,,
1981-02-24,-0.03553281526849805,,
1981-02-25,0.06315758909294567,,
1981-02-26,0.014851459434824577,,
1981-02-27,0.03414666844536263,,
1981-03-02,0.004716625684460407,,
1981-03-03,-0.014084483542850523,,
1981-03-04,-0.009523739683159338,,
1981-03-05,-0.0048074126319388455,,
1981-03-06,-0.009662170265675951,,
1981-03-09,-0.07804853726477956,,
1981-03-10,-0.04761931197308378,,
1981-03-11,-0.03888832165745404,,
1981-03-12,0.040461813682794556,,
1981-03-13,-0.011111029630352487,,
1981-03-16,0.03932602643246863,,
1981-03-17,0.04864873666267888,,
1981-03-18,0.06185571866498729,,
1981-03-19,-0.009708909342437733,,
1981-03-20,0.009804096425820585,,
1981-03-23,0.038834733718672076,,
1981-03-24,-0.004673099328310171,,
1981-03-25,-0.018778967105563704,,
1981-03-26,-0.01913909458649532,,
1981-03-27,-0.03414609058933393,,
1981-03-30,0.0,,
1981-03-31,-0.010100847795665446,,
1981-04-01,-0.010204175022358153,,
1981-04-02,0.08762836777031446,,
1981-04-03,0.004739783503609374,,
1981-04-06,-0.018868179064941537,,
1981-04-07,-0.009615069344535265,,
1981-04-08,0.04854356091101164,,
1981-04-09,0.018518299437477292,,
1981-04-10,0.013636416782742522,,
1981-04-13,0.0,,
1981-04-14,0.0,,
1981-04-15,-0.049327139188629965,,
1981-04-16,-0.05660381876892451,,
1981-04-20,0.030000109998993052,,
1981-04-21,0.0679608045452007,,
1981-04-22,0.03636359860173566,,
1981-04-23,0.026315818772379762,,
1981-04-24,-0.0085472347794191,,
1981-04-27,-0.008620482143026464,,
1981-04-28,-0.017391176386190033,,
1981-04-29,-0.013274386645087177,,
1981-04-30,0.017937162219744396,,
1981-05-01,0.0,,
1981-05-04,-0.004405179280135951,,
1981-05-05,-0.004424670748036652,,
1981-05-06,-0.02666661451899488,,
1981-05-07,0.013698370794035908,,
1981-05-08,0.009008942394131969,,
1981-05-11,-0.02232111389726621,,
1981-05-12,0.0,,
1981-05-13,-0.004566097840140726,,
1981-05-14,-0.013761671574572087,,
1981-05-15,0.023255638226002295,,
1981-05-18,0.0181817608396726,,
1981-05-19,-0.01785708754464277,,
1981-05-20,0.03181817762241512,,
1981-05-21,0.05726882164846292,,
1981-05-22,0.045833202298189546,,
1981-05-26,-0.003983967044117631,,
1981-05-27,0.05600019224442665,,
1981-05-28,0.0,,
1981-05-29,0.0037876575874977725,,
1981-06-01,0.0,,
1981-06-02,-0.04905630423358598,,
1981-06-03,0.0,,
1981-06-04,0.019841318075216607,,
1981-06-05,-0.015564476487513135,,
1981-06-08,-0.03557319047620644,,
1981-06-09,0.020492275412841376,,
1981-06-10,0.01204802982239439,,
1981-06-11,0.04365072516391888,,
1981-06-12,-0.011406756762669557,,
1981-06-15,-0.0038461240558068654,,
1981-06-16,-0.019305587934886348,,
1981-06-17,-0.015747784928492603,,
1981-06-18,-0.003999564065455208,,
1981-06-19,-0.028112635948286502,,
1981-06-22,-0.03719007628740767,,
1981-06-23,0.017167249805331908,,
1981-06-24,-0.025316406887900933,,
1981-06-25,0.021644710213276408,,
1981-06-26,-0.012711484601068523,,
1981-06-29,-0.03433486276346642,,
1981-06-30,-0.0755557337267675,,
1981-07-01,-0.009615069344535265,,
1981-07-02,0.0,,
1981-07-06,-0.03398073087299269,,
1981-07-07,0.010050175190518873,,
1981-07-08,0.039801201948577836,,
1981-07-09,-0.07655540669503136,,
1981-07-10,-0.07772008004457132,,
1981-07-13,0.022472504049142694,,
1981-07-14,0.04395569245966957,,
1981-07-15,0.026315766034735066,,
1981-07-16,0.025641003388663153,,
1981-07-17,0.03500007192241861,,
1981-07-20,-0.06763322978195352,,
1981-07-21,-0.005180958707530214,,
1981-07-22,-0.0572918443242858,,
