Date,AAPL,BLK,C,GM,KO,MSFT,TSLA,TTEK
1962-01-02,,,,,,,,
1962-01-03,,,,,-0.02227699724427068,,,
1962-01-04,,,,,0.007595008778642054,,,
1962-01-05,,,,,-0.02261350522039085,,,
1962-01-08,,,,,-0.010282413453277073,,,
1962-01-09,,,,,0.0181816390371361,,,
1962-01-10,,,,,0.005102090188844555,,,
1962-01-11,,,,,0.010152496626799623,,,
1962-01-12,,,,,-0.007537759429602886,,,
1962-01-15,,,,,-0.010125992406134543,,,
1962-01-16,,,,,-0.017903665496411647,,,
1962-01-17,,,,,-0.031249658217429088,,,
1962-01-18,,,,,-0.020161783494621277,,,
1962-01-19,,,,,0.03155000961418386,,,
1962-01-22,,,,,0.007978682836938145,,,
1962-01-23,,,,,-0.021107854496614342,,,
1962-01-24,,,,,-0.010781653769966648,,,
1962-01-25,,,,,-0.008174711981187577,,,
1962-01-26,,,,,-0.010988748545268323,,,
1962-01-29,,,,,0.0,,,
1962-01-30,,,,,-0.004167271666711048,,,
1962-01-31,,,,,0.040447477635061846,,,
1962-02-01,,,,,0.008042121953073966,,,
1962-02-02,,,,,0.01063816371270887,,,
1962-02-05,,,,,0.0,,,
1962-02-06,,,,,-0.013158027650634896,,,
1962-02-07,,,,,0.005333267500931882,,,
1962-02-08,,,,,0.002653565402466196,,,
1962-02-09,,,,,0.0052901582603221975,,,
1962-02-12,,,,,-0.007894935430948546,,,
1962-02-13,,,,,0.0,,,
1962-02-14,,,,,-0.018567051923276456,,,
1962-02-15,,,,,-0.005404969645256497,,,
1962-02-16,,,,,0.0,,,
1962-02-19,,,,,0.01630382395009211,,,
1962-02-20,,,,,-0.0053472232703738465,,,
1962-02-21,,,,,-0.005376637460158484,,,
1962-02-23,,,,,-0.010810854683710014,,,
1962-02-26,,,,,0.01639378749787923,,,
1962-02-27,,,,,0.005375969781088008,,,
1962-02-28,,,,,-0.018716458730163477,,,
1962-03-01,,,,,-0.005449828495812548,,,
1962-03-02,,,,,0.0109585795448921,,,
1962-03-05,,,,,-0.013549906820449431,,,
1962-03-06,,,,,0.02197861366936893,,,
1962-03-07,,,,,-0.013441108065617824,,,
1962-03-08,,,,,0.0027251911106866977,,,
1962-03-09,,,,,-0.010870279502802616,,,
1962-03-12,,,,,0.02197861366936893,,,
1962-03-13,,,,,0.01595243114392675,,,
1962-03-14,,,,,0.0013312982586657363,,,
1962-03-15,,,,,-0.005318709695896429,,,
1962-03-16,,,,,0.0,,,
1962-03-19,,,,,0.005347149632492165,,,
1962-03-20,,,,,0.01063849337234668,,,
1962-03-21,,,,,0.01315792736283794,,,
1962-03-22,,,,,0.010389099725567785,,,
1962-03-23,,,,,0.01799585756166855,,,
1962-03-26,,,,,-0.01262628751886663,,,
1962-03-27,,,,,-0.007673429912663621,,,
1962-03-28,,,,,-0.007731610351076612,,,
1962-03-29,,,,,0.0025980615871006307,,,
1962-03-30,,,,,-0.015544720217702812,,,
1962-04-02,,,,,0.01315792736283794,,,
1962-04-03,,,,,-0.031168639404947962,,,
1962-04-04,,,,,0.012064153777948894,,,
1962-04-05,,,,,0.001325017623518887,,,
1962-04-06,,,,,0.015872642816810334,,,
1962-04-09,,,,,0.0026040090475467625,,,
